Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE mod 2 (Add +1 ),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
1,PAID Network,Thetan Arena,THG,"BNB, KardiaChain",GameFi,"sports, play to earn, nft, bnb chain ecosystem, collectibles, marketplace, metaverse",$ 7.87M,7870000,$ 1.60M,1600000,1.37x,1.37,2.37,264.17x,264.17,265.17,$ 100.00K,100000,$ 300.00K,300000,9/15/2021,9/15/2021,11/24/2021,70,ACTIVE
2,PAID Network,Star Atlas,ATLAS,Solana,GameFi,"solana ecosystem, play to earn, nft, metaverse",$ 16.59M,16590000,$ 1.61M,1610000,5.57x,5.57,6.57,194.48x,194.48,195.48,$ 248.40K,248400,$ 996.80K,996800,8/29/2021,9/1/2021,9/3/2021,2,ACTIVE
3,PAID Network,AIOZ Network,AIOZ,"Ethereum, BNB",Blockchain Infrastructure,dapp,$ 44.99M,44990000,$ 205.76K,205760,4.75x,4.75,5.75,184.91x,184.91,185.91,$ 155.00K,155000,$ 1.35M,1350000,4/1/2021,4/1/2021,4/2/2021,1,ACTIVE
4,PAID Network,BeyondFi,BYN,"Ethereum, Polygon",DeFi,"amm, governance, loan, staking, polygon ecosystem, dex, lending/borrowing",$ 177.20K,177200,$ 180.45K,180450,0.04x,0.04,1.04,174.97x,174.97,175.97,$ 75.00K,75000,$ 7.80M,7800000,4/11/2021,4/11/2021,4/12/2021,1,ACTIVE
5,PAID Network,Star Atlas DAO,POLIS,Solana,GameFi,"dao, governance, metaverse, nft, solana ecosystem, play to earn",$ 11.93M,11930000,$ 1.13M,1130000,4.00x,4.00,5,136.52x,136.52,137.52,$ 248.40K,248400,$ 996.80K,996800,8/29/2021,9/1/2021,9/3/2021,2,ACTIVE
6,PAID Network,SHOPX,SHOPX,Ethereum,DeFi,"nft, marketplace, governance, polkadot ecosystem",$ 3.78M,3780000,$ 158.22K,158220,0.98x,0.98,1.98,112.17x,112.17,113.17,$ 219.00K,219000,$ 2.17M,2170000,3/30/2021,3/30/2021,3/30/2021,0,ACTIVE
7,PAID Network,Sidius Heroes,SIDUS,Ethereum,GameFi,"nft, play to earn, metaverse, marketplace",$ 6.49M,6490000,$ 359.23K,359230,1.55x,1.55,2.55,109.13x,109.13,110.13,$ 200.00K,200000,$ 9.72M,9720000,12/14/2021,12/14/2021,12/31/2021,17,ACTIVE
8,PAID Network,Blind Boxes,BLES,Ethereum,DeFi,"governance, nft, launchpad, marketplace, dapp, collectibles",$ 164.65K,164650,$ 16.46K,16460,0.06x,0.06,1.06,80.78x,80.78,81.78,$ 150.00K,150000,$ 2.45M,2450000,3/25/2021,3/25/2021,3/27/2021,2,ACTIVE
9,PAID Network,MetisDAO,METIS,"Ethereum, BNB, MetisDAO",Blockchain Infrastructure,"governance, bnb chain ecosystem, layer-2",$ 198.76M,198760000,$ 13.81M,13810000,9.15x,9.15,10.15,66.40x,66.40,67.4,$ 100.00K,100000,$ 150.00K,150000,5/12/2021,5/12/2021,1/15/2022,248,ACTIVE
10,PAID Network,Good Games Guild,GGG,BNB,GameFi,"gaming guild, bnb chain ecosystem, nft, play to earn, staking, governance",$ 128.50K,128500,$ 154.70K,154700,0.33x,0.33,1.33,55.95x,55.95,56.95,$ 125.00K,125000,$ 2.09M,2090000,11/4/2021,11/4/2021,11/24/2021,20,ACTIVE
