Project ID,Project Name,Ticker Symbol,Cross-Chain,Category,Sub-Category,Status
1,Yield Guild Games,YGG,YES,GameFi,"NFT, Yield Farming, Staking, Governance, DAO, Metaverse, Play To Earn, Collectibles, Gaming Guild, Polygon Ecosystem",ACTIVE
2,MARS4,MARS4,NO,NFT,"Governance, Marketplace, Staking, Yield Farming, Metaverse",ACTIVE
3,XDEFI Wallet,XDEFI,YES,Blockchain Infrastructure,"NFT, Payments, Cross-Chain, Governance, Wallet",ACTIVE
4,DotOracle,DTO,NO,Blockchain Infrastructure,"Cross-Chain, Oracle, Polkadot Ecosystem",ACTIVE
5,BitDAO,BIG,NO,DeFi,"Governance, DAO",ACTIVE
6,99Starz,STZ,YES,GameFi,"NFT, Yield Farming, Play To Earn, collectibles, metaverse, polygon ecosystem, bnb chain ecosystem",ACTIVE
7,Wrapped NCG,WNCG,NO,GameFi,"play to earn, governance, metaverse, marketplace, nft, wrapped tokens",ACTIVE
8,Creaticles,CRE8,NO,Blockchain Service,"freelance, governance, nft",ACTIVE
9,Ethernaal,NAAL,NO,NFT,"dao, marketplace, nft, collectibles",INACTIVE
10,Volatility Protocol Token,VOL,NO,DeFi,"index, mgnr",INACTIVE
11,iBetYou,IBY,NO,DeFi,"social, payments",INACTIVE
12,GameFi,GAFI,NO,DeFi,"launchpad, bnb chain ecosystem",ACTIVE
13,My Neighbor Alice,ALICE,YES,GameFi,"nft, governance, staking, binance launchpool, play to earn, metaverse",ACTIVE
14,Orion Protocol,ORN,NO,DeFi,"fantom ecosystem, avalanche ecosystem",ACTIVE
15,Victoria VR,VR,NO,GameFi,"VR/AR, metaverse, play to earn, nft",ACTIVE
16,DeRace,DERC,YES,GameFi,"sports, bnb chain ecosystem, play to earn, gambling and betting",ACTIVE
17,Opulous,OPUL,YES,DeFi,"launchpad, nft, loan, marketplace, amm",ACTIVE
18,Step.app,FITFI,NO,GameFi,"nft, metaverse, move to earn (m2e), avalanche ecosystem",ACTIVE
19,XCAD Network,XCAD,YES,Social,"marketplace, nft, watch to earn, social media",ACTIVE
20,MetaGods,MGOD,NO,GameFi,"play to earn, nft, metaverse, staking, governance",ACTIVE
21,Heroes & Empires,HE,NO,GameFi,"BNB Chain ecosystem, nft, play to earn, collectibles",ACTIVE
22,OpenPredict Token,OPT,NO,DeFi,"assets, artificial intelligence",INACTIVE
23,Hord,HORD,YES,DeFi,"governance, staking, yield farming",ACTIVE
24,Solice,SLC,NO,GameFi,"VR/AR, play to earn, solana ecosystem, metaverse",ACTIVE
25,Gold Fever,NGL,YES,GameFi,"bnb chain ecosystem, nft",ACTIVE
26,Bemil,BEM,NO,GameFi,"play to earn, nft",ACTIVE
27,Clearpool,CPOOL,NO,DeFi,"lending/borrowing, loan",ACTIVE
28,Numbers Protocol,NUM,YES,Blockchain Service,"nft, staking, governance, bnb chain ecosystem, cross-chain, social media",ACTIVE
29,DAFI Protocol,DAFI,NO,DeFi,"staking, governance, dapp, polygon ecosystem, sythetic assets, derivatives",ACTIVE
30,EPIK Prime,EPIK,YES,GameFi,"Governance, collectibles",ACTIVE
31,Seascape Crowns,CWS,YES,DeFi,"staking, nft, bnb chain ecosystem, collectibles, cross-chain, dex, launchpad",ACTIVE
32,Ftribe Fighters,F2C,NO,GameFi,"bnb chain ecosystem, play to earn, nft, metaverse",ACTIVE
33,Titan Hunters,TITA,NO,GameFi,"bnb chain ecosystem, metaverse, nft, play to earn",ACTIVE
34,Orion Money,ORION,YES,DeFi,"yield farming, cross-chain, bnb chain ecosystem, terra ecosystem",ACTIVE
35,LaunchX,LNCHX,NO,DeFi,"cross-chain, launchpad",INACTIVE
36,DinoX,DNXC,YES,GameFi,"polygon ecosystem, staking, metaverse, marketplace, nft, play to earn",ACTIVE
37,Gamestarter,GAME,YES,DeFi,"nft, launchpad",ACTIVE
38,Vent Finance,VENT,YES,DeFi,"launchpad, staking, governance, polygon ecosystem, dapp",ACTIVE
39,Gamium,GMM,NO,GameFi,"metaverse, bnb chain ecosystem",ACTIVE
40,Warena,RENA,NO,GameFi,"play to earn, metaverse, nft",ACTIVE
41,Starpunk,SRP,NO,GameFi,"dao, nft, play to earn, bnb chain ecosystem",ACTIVE
42,Fear,FEAR,YES,GameFi,"nft, play to earn, staking, yield farming",ACTIVE
43,VAIOT,VAI,NO,Blockchain Service,artifical intelligence,ACTIVE
44,Infinity Pad,IPAD,YES,DeFi,"governance, launchpad, staking",ACTIVE
45,Dark Frontiers,DARK,NO,GameFi,"bnb chain ecosystem, metaverse, nft, play to earn",ACTIVE
46,Lossless Protocol,LSS,YES,Blockchain Infrastructure,"staking, security",ACTIVE
